"ID","Joke"
1,"What's the difference between Windows 95 and a virus? A virus does something."
2,"Q: What goes VROOM SCREECHVROOM  SCREECHVROOM SCREECH? A: A blonde going through a flashing red light."
3,"What's the difference  between Windows 95 and a virus? A virus does something."
4,"Q: What goes VROOM SCREECHVROOM  SCREECHVROOM SCREECH? A: A blonde going through a flashing red light."
5,"The officer shouted orders to a nearby soldier. With considerable bravery the GI ran directly onto the field of battle in the line of fire to retrieve a dispatch case from a dead soldier. In a hail of bullets he dove back to  safety. ""Private"" the officer said ""I'm recommending you for a medal. You risked your life to save the locations of our secret warehouses."" ""Warehouses?"" the private shouted. ""I thought you said  whorehouses!"""
6,"""I was married 3 times"" explained the man to a newly discovered drinking partner ""and I'll never marry again. My first 2 wives died of eating poison mushrooms and my 3rd wife died of a fractured skull.""  ""That's a shame."" said his friend ""How did it happen?""  ""She wouldn't eat the mushrooms!"""
7,"What's the speed limit of sex? 68; at 69 you have to turn around."
8,"What did the egg say to the  boiling water? ""How can you expect me to get hard so fast? I just got laid a minute ago."""
9,"A ragged individual stranded for several months  on a small desert island in the middle of the Pacific Ocean one day  noticed a bottle lying in the sand with a piece of paper in it. Rushing to the bottle he pulled out the cork and with shaking hands withdrew the message.  ""Due to lack of maintenance"" he read ""we regretfully have found it necessary to cancel your e-mail account."""
10,"This customer comes into the computer store. ""I'm looking for a mystery Adventure Game with lots of graphics. You know something really challenging.""  ""Well"" replied the clerk ""Have you tried Windows 98?"""
11,"Redmond WA --Microsoft announced today that the official release date for the new operating system ""Windows 2000"" will be delayed until the second quarter of 1901."
12,"What do computers eat when they get hungry?  Chips."
13,"What's the difference between Windows 95 and a virus? A virus does something."
14,"What is uglier than an aardvark? Two aardvarks!"
15,"What does the aardvark call his dog? Aard-bark!"
16,"What is the difference between an aardvark and a coyote? One has a long smeller the other a loud yeller!"
17,"Who loves hamburgers French fries and ants? Ronald MacAardvark!"
18,"What does an aardvark keep in his aquarium? An aard-shark!"
19,"Q: What goes VROOM  SCREECHVROOM SCREECHVROOM SCREECH? A: A blonde going through a flashing red light."
20,"What will fall on the lawn first? An  autumn leaf or a Christmas catalogue?"
21,"Do steam rollers really roll  steam?"
22,"Why do you need a driver's licence to buy liquor when you can't drink and drive?"
23,"Can you repeat the part after ""Listen very carefully""?"
24,"Why is it that when you transport something by car it's called ship-ment but when you transport something by ship it's called cargo?"
25,"An accountant visited the Natural History  museum. While standing near the dinosaur he said to his neighbor: ""This dinosaur is two billion years and ten months old"". ""Where did you get this exact information?"" ""I was here ten months ago and the guide told me that the dinosaur is two billion years old."""
