"ID","Joke"
1,"Q: What do you get when you cross a lawyer with the Godfather? A: An offer you can't understand."
2,"Yo mama so poor your family ate cereal with a fork to save milk."
3,"Why Does Ariel wear seashells? Because she can't fit into D-shells"
4,"Two deaf men were talking on their coffee break about being out late the night before. The first man signed to his friend, ""My wife was asleep when I got home, so I was able to sneak into bed, and not get into trouble."" The second deaf man signed back, ""Boy you're lucky. My wife was wide awake, waiting for me in bed, and she started swearing at me and giving me hell for being out so late."" The first deaf man asked, ""So, what did you do?"" The second man replied, ""I turned out the light."""
5,"During a recent password audit, our I.T. discovered a blonde was using the following password: MickeyMinniePlutoHueyLouieDeweyDonaldGoofySacramento When they asked why such a long password, she said she was told that it had to be at least 8 characters long and include at least one capital."
6,"A blonde girl comes back from school one evening. She runs to her mum and says: ""Mummy today at school we learned how to count. Well, all the other girls only counted to 5, but listen to me: 1,2,3,4,5, 6,7,8,9,10! It's good, innit?"" ""Yes, darling, very good."" Answers the mom. ""Is that because I'm blonde?"" she asks. ""Yes, darling, it's because you're blonde."" The mom says. Next day, the little girl comes back from school and says: ""Mummy, today at school we learnt the alphabet. All the other girls only went as far as D, but listen to me: A,B,C,D,E,F,G,H,I,J,K! It's good, innit?"" ""Yes, darling, very good."" Answers the mom. ""Is that because I'm blonde, mummy?"" she asks. ""Yes, darling it's because you're blonde."" The mom says. Next Day, she returns from school and cries: ""Mummy, today we went swimming. Well, all the other girls have no breasts, but look at me!"" She proceeds to flash her impressive 36D at her mummy. ""Is that because I'm blonde, mummy?"" ""No darling, it's because you're 25."""
7,"A blind man enters a Ladies bar by mistake. He finds his way to a barstool and orders a drink. After sitting there for a while, he yells to the bartender: ""Hey, you wanna hear a blonde joke?"" The bar immediately falls absolutely quiet. In a very deep, husky voice, the woman next to him says: ""Before you tell that joke, sir, I think it is just fair - giving that you are blind - that you should know five things: 1. The bartender is a blonde girl. 2. The bouncer is a blonde girl. 3. I'm a 6 feet tall, 160 LB. blonde woman with a black belt in Karate. 4. The woman sitting next to me is blonde and is a proffesional weightlifter. 5. The lady to your right is a blonde and is a proffesional wretler. Now, think about it seriously, Mister. Do you still wanna tell that joke?"" The blind man thinks for a second, shakes his head and declares: ""Nah, not if I'm gonna have to explain it five times""."
8,"Yo mama so fat, I took a picture of her last Christmas and it's still printing."
9,"Q: Why was the blonde so happy after she finished her jigsaw puzzle in only six months? A: Because on the box it said From 2 to 4 years."
10,"There's this guy named Jacob. His favorite color is green. He drives a green car, he has a green house, he lives in Greensboro. One day, he's out driving in the middle of nowhere when he realizes that he's about to run out of gas. He spots a green gas station up ahead and thinks to himself ""That gas station is my favorite color, so I'll go get gas there."" After he fills his car up he sees that it's getting late outside so he looks around for a hotel he can stay at. Sure enough, there's a green hotel right across the street. He thinks to himself ""That hotel is my favorite color, so I'll stay there for the night."" He drives across the street to the hotel and walks into the lobby where he is greeted by the clerk. Jacob asks if there are any rooms left and the clerk responds, ""You're just in time, we have only three rooms left but they are all on the 9,999th floor."" Jacob reluctantly takes the key to the room and walks up the 9,999 flights of stairs when he realizes that he left his luggage in the lobby. He walks down the 9,999 flights of stairs, grabs his luggage, walks back up the 9,999 flights of stairs and enters his room. There's this guy named Mason. His favorite color is red. He drives a red car, he has a red house, he lives in Redding. One day, he's out driving in the middle of nowhere when he realizes that he's about to run out of gas. He spots a red gas station up ahead and thinks to himself ""That gas station is my favorite color, so I'll go get gas there."" After he fills his car up he sees that it's getting late outside so he looks around for a hotel he can stay at. Sure enough, there's a green hotel right across the street. He thinks to himself ""That hotel isn't my favorite color, but I'll stay there since there are no other hotels around."" He drives across the street to the hotel and walks into the lobby where he is greeted by the clerk. Mason asks if there are any rooms left and the clerk responds, ""You're just in time, we have only two rooms left but they are both on the 9,999th floor."" Mason reluctantly takes the key to the room and walks up the 9,999 flights of stairs when he realizes that he left his car running. He walks down the 9,999 flights of stairs, turns his car off, walks back up the 9,999 flights of stairs and enters his room. There's this guy named William. His favorite color is blue. He drives a blue car, he has a blue house, he lives in Blueville. One day, he's out driving in the middle of nowhere when he realizes that he's about to run out of gas. He spots a blue gas station up ahead and thinks to himself ""That gas station is my favorite color, so I'll go get gas there."" After he fills his car up he sees that it's getting late outside so he looks around for a hotel he can stay at. Sure enough, there's a green hotel right across the street. He thinks to himself ""That hotel isn't my favorite color, but I'll stay there since there are no other hotels around."" He drives across the street to the hotel and walks into the lobby where he is greeted by the clerk. William asks if there are any rooms left and the clerk responds, ""You're just in time, we have only one room left but it's on the 9,999th floor."" William reluctantly takes the key to the room and walks up the 9,999 flights of stairs when he realizes that he left his cat in the car. He walks down the 9,999 flights of stairs, gets his cat, walks back up the 9,999 flights of stairs and enters his room. The next morning, Jacob wakes up and walks down the 9,999 flights of stairs to go eat breakfast. He gets a bowl of Fruit Loops, walks up the 9,999 flights of stairs and goes into his room. Then, Mason wakes up and walks down the 9,999 flights of stairs to go eat breakfast. He makes some waffles, walks up the 9,999 flights of stairs and goes into his room. Then, William wakes up and walks down the 9,999 flights of stairs to go eat breakfast. He gets a bowl of Fruit Loops, walks up the 9,999 flights of stairs and goes into his room. The moral of the story? People prefer Fruit Loops to waffles 2 to 1"
11,"Yo mama so old, When she farted dust came out!"
12,"A guy goes over to his friends house, rings the bell. The wife answers the door. ""Hi, is Tony home?"" ""No, he went to the store."" ""Well, you mind if I wait?"" ""No come in."" They sit down and the friend says, ""You know Sara, you have the greatest breasts I have ever seen. I'd give you a hundred bucks if I could just see one."" Sara thinks about this for a second and figures what the hell - a hundred bucks. She opens her robe and shows one. He promptly thanks her and throws a 100 bucks on the table. They sit there a while longer and Chris says, ""They are so beautiful I've got to see the both of them. I'll give you another 100 bucks if I could just see the both of them together."" Sara thinks about this and says what the hell opens her robe and gives Chris a nice long look. Chris thanks her and throws another 100 bucks on the table then says he can't wait any longer for Tony and leaves. A while later Tony arrives home and his wife says, ""You know, your weird friend Chris came over."" Tony thinks about this for a second and says, ""Well, did he drop off the 200 bucks he owes me?"""
13,"Yo mama so ugly that not even goldfish crackers smile back"
14,"A blonde went to the appliance store sale and found a bargain. ""I would like to buy this TV,"" she told the salesman. ""Sorry,we don't sell to blondes,"" he replied. She hurried home and dyed her hair, then came back and again told the salesman ""I would like to buy this TV."" ""Sorry, we don't sell to blondes,"" he replied. ""Darn, he recognized me,"" she thought. She went for a complete disguise this time, haircut and new color, new outfit, big sunglasses, then waited a few days before she again approached the salesman. ""I would like to buy this TV."" Sorry, we don't sell to blondes,"" he replied. Frustrated, she exclaimed ""How do you know I'm a blonde?"" ""Because that's a microwave,"" he replied."
15,"Yo mama so fat, the sorting hat placed her in the house of pancakes."
16,"Q: Why did the blonde have tire tread marks on her back? A: From crawling across the street when the sign said ""don't walk""."
17,"Q: What did the blonde say when her doctor told her that she was pregnant? A: ""Is it mine?"""
18,"The husband picks up a case of Budweiser and puts it in their cart. ""What do you think you're doing?"" asks the wife. ""They're on sale, only $10 for 24 cans"" he replies. ""Put them back, we can't afford them"" demands the wife, and so they carry on shopping. A few aisles further on along the woman picks up a $20 jar of face cream and puts it in the basket. ""What do you think you're doing?"" asks the husband. ""It's my face cream. It makes me look beautiful,"" replies the wife. Her husband retorts: ""So does 24 cans of Budweiser and it's half the price."""
19,"Q: Why can't Helen Keller drive? A: Because she's dead."
20,"The Elephant and the Turtle An elephant was drinking out of a river one day, when he spotted a turtle asleep on a log. So, he ambled on over and kicked it clear across the river. ""What did you do that for?"" Asked a passing giraffe. ""Because I recognized it as the same turtle that took a nip out of my trunk 53 years ago."" ""Wow, what a memory"" commented the giraffe. ""Yes,"" said the elephant, ""turtle recall""."
21,"Why did the boy drop his ice cream? Because he was hit by a bus."
22,"There was 3 girls, a blonde, a brunette, and a red head. and they found a pyramid. they read a tablet that said ""this is the pyramid of 100 steps. if you get to the top of it, you will get what you've wanted all your life. but be warned, every 5 steps a person will pop out and tell a joke, and if you laugh, you can never try again."" so the brunette gets to the 5th step and laughs, so she could never try again. the red head got to the 20th step and laughed, so she could never try again. then the blonde got to the 99th step and laughed. then the guy who was going to tell the joke said ""why did you laugh, i didnt tell the joke yet."" then the blonde said ""i know, i laughed because i just got the first joke!"""
23,"A man with a cucumber in his ear, a carrot in his nose, and a tomato in his eye walks into the doctor's office. He says, ""Doc, I'm not feeling well. What's wrong with me?""The doctor says, ""First of all, you're not eating right...."""
24,"A blonde was playing Trivial Pursuit one night. It was her turn. She rolled the dice and she landed on Science & Nature. Her question was: ""If you are in a vacuum and someone calls your name, can you hear it?"" She thought for a time and then asked, ""Is it on or off?"""
25,"Q:What happened when Smokey the Bear started the forest fire? A: He got arrested just like you would've."
26,"A blonde is driving down the road. She notices that she is low on gas, so she stops at the gas station. While she's pumping her gas, she notices that she had locked the keys in the car. So when she goes inside to pay, the blonde asks the attendant for a coat hanger so she can attempt to open the door herself. She goes outside and begins to jimmy the lock. Ten minutes later, the attendant goes outside to see how the blonde is faring. The blonde outside of the car is moving the hanger around and around. Meanwhile, the blonde inside of the car is saying, ""A little more to the left. A little more to the right ... """
27,"Why did the librarian slip and fall on the library floor? Because she was in the non-friction section."
28,"A woman stopped by unannounced at her recently married son's house. She rang the doorbell and walked in. She was shocked to see her daughter-in-law lying on the couch, totally naked. Soft music was playing and the aroma of perfume filled the room. ""What are you doing?"" she asked. ""I'm waiting for my husband to come home from work,"" the daughter-in-law said. ""I am wearing my love dress."" ""Love dress? But you're naked!"" said the mother-in-law. ""My husband loves me to wear this dress,"" she explained. ""It excites him to no end. Every time he sees me in this dress, he instantly becomes romantic and ravages me for hours on end. He can't get enough of me."" The mother-in-law left. When she got home, she undressed, showered, put on her best perfume, dimmed the lights, put on a romantic CD, and lay on the couch waiting for her husband to arrive. Finally, her husband came home. He walked in and saw her lying there so provocatively. What are you doing?"" he asked. This is my love dress"" she whispered, sensually. ""Needs ironing,"" he said."
29,"Q: Why do blondes work seven days a week? A: So you don't have to retrain them on Monday."
30,"A blonde, brunette, and red head were on top of a magic mountain. The myth of the mountain was that if you jumped off of it and yelled out what you wanted to be, you would instantly turn into it. The brunette jumped off and said she wanted to be an Eagle, so she turned into an Eagle and flew away. Next, the redhead jumped off and said she wanted to be a cat. So, she landed on all fours and walked away. Then the blonde got a running start, tripped over a rock, and yelled... ""CRAP!"""
31,"How to write a College Paper 1. Sit in a straight, comfortable chair in a well-lighted place with plenty of freshly sharpened pencils. 2. Read over the assignment carefully, to make certain you understand it. 3. Walk down to the vending machines and buy some coffee to help you concentrate. 4. Stop off at the third floor, on the way back and visit with your friend from class. If your friend hasn't started the paper yet either, you can both walk to McDonalds and buy a hamburger to help you concentrate. If your friend shows you his paper, typed, double-spaced, and bound in one of those irritating see-thru plastic folders, drop him. 5. When you get back to your room, sit in a straight, comfortable chair in a clean, well-lighted place with plenty of freshly sharpened pencils. 6. Read over the assignment again to make absolutely certain you understand it. 7. You know, you haven't written to that kid you met at camp since fourth grade. You'd better write that letter now and get it out of the way so you can concentrate. 8. Go look at your teeth in the bathroom mirror. 9. Listen to one of your favorite CDs and that's it, I mean it, as soon as it's over you are going to start that paper. 10. Rearrange all of your CDs into alphabetical order. 11. Phone your friend on the third floor and ask if he's started writing yet. Exchange remarks about your teacher, the course, the university, and the world at large. 12. Sit in a straight, comfortable chair in a clean, well-lighted place with plenty of freshly sharpened pencils. 13. Read over the assignment again; roll the words across your tongue; savor its special flavor. 14. Check the newspaper listings to make sure you aren't missing something truly worthwhile on TV. NOTE: When you have a paper due in less than 12 hours, anything on TV from Masterpiece Theater to Sgt. Preston of the Yukon is truly worthwhile, with these exceptions: a) Pro Bowler's Tour b) any movie starring Don Ameche. 15. Catch the last hour of Soul Brother of Kung Fu on channel 26. 16. Phone your friend on the third floor to see if he was watching. Discuss the finer points of the plot. 17. Go look at your tongue in the bathroom mirror. 18. Look through your roommate's book of pictures from home. Ask who everyone is. 19. Sit down and do some serious thinking about your plans for the future. 20. Open your door and check to see if there are any mysterious trench-coated strangers lurking in the hall. 21. Sit in a straight, comfortable chair in a clean, well-lighted place with plenty of freshly sharpened pencils. 22. Read over the assignment one more time, just for the thrill of it. 23. Scoot your chair across the room to the window and watch the sunrise. 24. Lie face down on the floor and moan."
32,"A blonde phoned police to report that thieves had been in her car. ""They've stolen the dashboard, the steering wheel, the brake pedal, even the accelerator,"" she cried out. However, before the police investigation could start, the phone rang a second time and the same voice came over the line. ""Never mind, I got in the back seat by mistake."""
33,"Yo Mama so ugly, she has to use prescription make-up!"
34,"A blonde is roller-skating down the board-walk one day. She's just skating along in her lycra pants, smiling at everyone, listening to her Walkman. She decides that she really needs a haircut. She skates into the first salon she sees and goes up to the hairdresser and says, ""I need a haircut."" The hairdresser checks her out and says, ""OK, sit down and take off your headphones."" ""No way!"" shouts the blonde, ""If I take off my headphones, I'll die!"" "" Then I can't give you a haircut,"" replies the hairdresser. So the blonde gets up and leaves and skates further down the board-walk. She sees another salon, goes in, and says to the hairdresser, ""I need a haircut... but you can't take off my headphones or I'll die!"" The hairdresser looks at her a little weird, but says, ""OK, no problem. Have a seat."" So the blonde sits down and the hairdresser comes up behind her, and when she isn't looking, rips the headphones off her head. Suddenly the blonde starts choking, and soon turns blue in the face, then keels over and dies right there in the salon chair. The hairdresser is a little freaked by this. The hairdresser leans over and cautiously listens into the blonde's headphones and hears... ""Breathe in, breathe out. Breathe in, breathe out..."""
