"ID","Joke"
1,"I just asked my husband if he remembers what today is... Scaring men is easy."
2,"People used to laugh at me when I would say ""I want to be a comedian"", well nobody's laughing now."
3,"Today a man knocked on my door and asked for a small donation towards the local swimming pool. I gave him a glass of water."
4,"My wife and I were happy for twenty years. Then we met."
5,"If i had a dollar for every girl that found me unattractive, they would eventually find me attractive."
6,"Just read that 4,153,237 people got married last year, not to cause any trouble but shouldn't that be an even number?"
7,"You know you're ugly when it comes to a group picture and they hand you the camera."
8,"A recent study has found that women who carry a little extra weight live longer than the men who mention it."
9,"I find it ironic that the colors red, white, and blue stand for freedom until they are flashing behind you."
10,"Relationships are a lot like algebra.  Have you ever looked at your X and wondered Y?"
11,"Life is all about perspective. The sinking of the Titanic was a miracle to the lobsters in the ship's kitchen."
12,"Intelligence is like an underwear. It is important that you have it, but not necessary that you show it off."
13,"Life is like toilet paper, you're either on a roll or taking shit from some asshole."
14,"Isn't it great to live in the 21st century? Where deleting history has become more important than making it."
15,"Feeling pretty proud of myself. The Sesame Street puzzle I bought said 3-5 years, but I finished it in 18 months."
16,"I want to die peacefully in my sleep, like my grandfather.. Not screaming and yelling like the passengers in his car."
17,"When wearing a bikini, women reveal 90 % of their body... men are so polite they only look at the covered parts."
18,"When my boss asked me who is the stupid one, me or him? I told him everyone knows he doesn't hire stupid people."
19,"My favorite mythical creature? The honest politician."
20,"I'm great at multitasking. I can waste time, be unproductive, and procrastinate all at once."
21,"Strong people don't put others down. They lift them up and slam them on the ground for maximum damage."
22,"If you can smile when things go wrong, you have someone in mind to blame."
23,"Before I criticize a man, I like to walk a mile in his shoes. That way, when I do criticize him, I'm a mile away and I have his shoes."
24,"The 50-50-90 rule: Anytime you have a 50-50 chance of getting something right, there's a 90% probability you'll get it wrong."
25,"Take my advice  I'm not using it."
26,"You know that tingly little feeling you get when you like someone? That's your common sense leaving your body."
27,"How do I disable the autocorrect function on my wife?"
28,"You're not fat, you're just... easier to see."
29,"I can totally keep secrets. It's the people I tell them to that can't."
30,"Apparently I snore so loudly that it scares everyone in the car I'm driving."
31,"Politicians and diapers have one thing in common. They should both be changed regularly, and for the same reason."
32,"When Miley Cyrus gets naked & licks a hammer it's ""art"" & ""music"". But when I do it, I'm ""drunk"" and ""have to leave the hardware store""."
33,"That awkward moment when you leave a store without buying anything and all you can think is ""act natural, you're innocent""."
34,"Alcohol is a perfect solvent: It dissolves marriages, families and careers."
35,"If you think nobody cares whether you're alive, try missing a couple of payments."
36,"Is your ass jealous of the amount of shit that just came out of your mouth?"
37,"My therapist says I have a preoccupation with vengeance. We'll see about that."
38,"I used to think I was indecisive, but now I'm not too sure."
39,"I think my neighbor is stalking me as she's been googling my name on her computer. I saw it through my telescope last night."
40,"I've been repeating the same mistakes in life for so long now, I think I'll start calling them traditions."
41,"Did you know that dolphins are so smart that within a few weeks of captivity, they can train people to stand on the very edge of the pool and throw them fish?"
42,"When an employment application asks who is to be notified in case of emergency, I always write, ""A very good doctor""."
43,"I'm not saying I hate you, but I would unplug your life support to charge my phone."
44,"Childs experience: if a mother is laughing at the fathers jokes, it means they have guests."
45,"What's the difference between your wife and your job? After five years your job will still suck."
46,"Money talks ...but all mine ever says is good-bye."
47,"Team work is important; it helps to put the blame on someone else."
48,"I changed my password to ""incorrect"". So whenever I forget what it is the computer will say ""Your password is incorrect""."
49,"I bought a vacuum cleaner six months ago and so far all it's been doing is gathering dust."
50,"There are two rules for success: 1) Don't tell all you know."
51,"I asked God for a bike, but I know God doesn't work that way. So I stole a bike and asked for forgiveness."
52,"If 4 out of 5 people SUFFER from diarrhea ... does that mean that one enjoys it?"
53,"I started out with nothing, and I still have most of it."
54,"Treat Two-faced people like mushrooms. Keep them in the dark and feed them shit."
55,"Any married man should forget his mistakes, there's no use in two people remembering the same thing."
56,"My wife is so negative. I remembered the car seat, the stroller, AND the diaper bag. Yet all she can talk about is how I forgot the baby."
57,"Artificial intelligence is no match for natural stupidity."
58,"Funny how they say we need to talk when they really mean you need to listen."
59,"Two wrongs don't make a right, take your parents as an example."
60,"Never laugh at your girlfriends choices... your one of them."
61,"Entered what I ate today into my new fitness app and it just sent an ambulance to my house."
62,"Love is telling someone to go to hell and worrying about them getting there safely."
63,"I sometimes watch birds and wonder ""If I could fly who would I shit on?"""
64,"The difference between ""Girlfriend"" and ""Girl Friend"" is that little space in between we call the ""Friend Zone""."
65,"Women spend more time wondering what men are thinking than men spend thinking."
66,"I named my hard drive ""dat ass"" so once a month my computer asks if I want to 'back dat ass up'."
67,"My son asked me what it's like to be married so I told him to leave me alone and when he did I asked him why he was ignoring me."
68,"Never get on one knee for a girl who won't get on two for you."
69,"I hate when I am about to hug someone really sexy and my face hits the mirror."
70,"Outvoted 1-1 by my wife again."
71,"Telling a girl to calm down works about as well as trying to baptize a cat."
72,"If you see me smiling it's because I'm thinking of doing something evil or naughty. If you see me laughing it's because I've already done it."
73,"Hospitality: making your guests feel like they're at home, even if you wish they were."
74,"A clean house is the sign of a broken computer."
75,"What's worse than waking up at a party and finding a penis drawn on your face? Finding out it was traced."
76,"If I wanted to kill myself I'd climb your ego and jump to your IQ."
77,"Thanks for explaining the word ""many"" to me, it means a lot."
78,"Good health is merely the slowest possible rate at which one can die."
79,"I'd like to see things from your point of view but I can't seem to get my head that far up my ass."
80,"Is google a woman? Because it won't let you finish your sentence without coming up with other suggestions."
81,"When I call a family meeting I turn off the house wifi and wait for them all to come running."
82,"If you're not supposed to eat at night, why is there a light bulb in the refrigerator?"
83,"Waking up this morning was an eye-opening experience."
84,"Dear alcohol, We had a deal where you would make me funnier, smarter, and a better dancer... I saw the video... we need to talk."
85,"Wifi went down during family dinner tonight. One kid started talking and I didn't know who he was."
86,"When I told the doctor about my loss of memory, he made me pay in advance."
87,"There are three kinds of people: Those who can count and those who can't."
88,"Improve your memory by doing unforgettable things."
89,"When I see ads on TV with smiling, happy housewives using a new cleaning product, the only thing I want to buy are the meds they must be on."
90,"I'm really good at stuff until people watch me do that stuff."
91,"A conclusion is the part where you got tired of thinking."
92,"A good wife always forgives her husband when she's wrong."
93,"If I ever need a heart transplant, I'd want my ex's. It's never been used."
94,"The consensus after the election is that 100% of Americans think 50% of Americans have lost their minds."
95,"Every so often, I like to go to the window, look up, and smile for a satellite picture."
96,"My New Year's resolution is to help all my friends gain ten pounds so I look skinnier."
97,"An optimist believes that we live in the best world. A pessimist is afraid that it might be true."
98,"Whatever you do always give 100 %. Unless you are donating blood."
99,"Do not argue with an idiot. He will drag you down to his level and beat you with experience."
100,"What cheese can never be yours? Nacho cheese."
101,"Let me make this simple, I want to be invited but I don't want to go."
102,"My wife says I can join your gang but I have to be home by 9."
103,"I hate people who use big words just to make themselves look perspicacious."
104,"A straight face and a sincere-sounding ""Huh?"" have gotten me out of more trouble than I can remember."
105,"Keep the dream alive: Hit the snooze button."
106,"A computer once beat me at chess, but it was no match for me at kick boxing."
107,"If procrastionation was an Olympic sport, I'd compete in it later."
108,"Nothing ruins a Friday more than an understanding that today is Tuesday."
109,"I am a nobody, nobody is perfect, therefore I am perfect."
110,"My wife had her driver's test the other day. She got 8 out of 10. The other 2 guys jumped clear."
111,"For maximum attention, nothing beats a good mistake."
112,"Regular naps prevent old age, especially if you take them while driving."
113,"I asked my wife if she ever fantasizes about me, she said yes - about me taking out the trash, mowing the lawn, and doing the dishes."
114,"America is a country which produces citizens who will cross the ocean to fight for democracy but won't cross the street to vote."
115,"Never tell your problems to anyone...20% don't care and the other 80% are glad you have them..."
116,"Never test the depth of the water with both feet."
117,"My internet is so slow, it's just faster to drive to the Google headquarters and ask them shit in person."
118,"I haven't spoken to my wife for 18 months- I don't like to interrupt her."
119,"Want to get noticed? Go jogging without moving your arms."
120,"Going to church doesn't make you a Christian any more than standing in a garage makes you a car."
