"ID","Joke"
1,"When the cashier asks me ""Is that everything?"", I feel like crap inside because obviously my order didn't satisfy her."
2,"I rather have an enemy who admits they hate me, instead of a friend who secretly put me down."
3,"I don't always think I'm right....but whenever I think I'm wrong I tend to be mistaken."
4,"I'm drinking coffee because people think you've got a problem if you drink vodka in the morning!"
5,"Everything I ever needed to know about structural engineering, I learned from Angry Birds."
6,"What do you call it when 2 guys fight over a slut? Tug-of-whor"
7,"The person who came up with the word ""lisp"" wath a real athhole"
8,"Birth control pills should really be made for men. It makes more sense to unload a gun than to shoot a bulletproof vest."
9,"Crap....all this time I thought I was listening to the Angel on my shoulder. Turns out the Devil on the other shoulder is just a hell of a ventriloquist."
10,"Anyone know where I could find a bunch of ""Glad You Aren't Here"" postcards to send out when I go on my vacation in a few weeks? I'll need about 50 of them."
11,"My wife said I never do anything for her so I packed her bags and put them outside."
12,"You are 15 years old you should feel butterflies in your stomach not a baby kicking"
13,"I try to have garage sales but as soon as anyone shows a slight interest in something I take it back into the house & look at it with pride."
14,"I woke up and found Sarah Jessica Parkers head in my bed. I guess I pissed off the mafia."
15,"I will climb the highest mountain. Swim the deepest sea. I will cross the desert land. I would do anything to get the fcuk away from you."
16,"High-definition ruined porn for me. I like my porn blurry so I can't see butt acne and herp scars."
17,"My uncle came out of the closet yesterday. He's not gay. He has Alzheimer's and thought it was the car."
18,"I've never been interrogated, but I have ordered a sandwich at subway, so I think I'm prepared."
19,"Bruce Willis is working on the 5th Die Hard movie! They should call this one ""Just kill me already!!!"""
20,"Scariest thing ever: when a kid sings a nursery rhyme really slow."
21,"Good friends don't let you do dumb things... alone."
22,"Hate being fat. Love eating food."
23,"You can convince people to go anywhere with the promise of free food."
24,"If you get sexted by someone you don't like...does that mean you got molexted?"
25,"I don't have a dirty mind... I have a sexy imagination!"
26,"If your status update contains the words, ""I know 99% of you won't repost this,"" there is a 99% chance you're an idiot."
27,"You have 2,000 friends on FB and your profile pic was taken in the mirror? You couldn't find one of your ""friends"" to take it?"
28,"""I am cleaning up my friends list"" should be changed to ""I'm notifying you that you should give me attention and argue your friendship level to me."""
29,"Sometimes I want to comment on a photo on Facebook but then I don't wanna have to explain why I'm in your Random Party Pics' album at 4am."
30,"My doctor told me to start killing people. Well, not in those exact words. He said I had to reduce the stress in my life. Same thing!"
31,"Funny, this warrant doesn't feel so outstanding."
32,"And the moral of Little Red Riding Hood is,,, Learn to differentiate facial features between a wild dog & a human..."
33,"If there was a way to read a woman's mind...I'm still not sure I'd want too...I hate shoes, shopping, gossip & I already know I'm annoying."
34,"Relax,,, We're all crazy.. It's not a competition."
35,"I'm not really a social drinker. I'd say most of my drinking is work related."
36,"How you can tell if a person is Irish: a fly lands in their pint of beer. They grab the fly and start shaking it over their beer yelling ""Spit it out ya bastard, spit it out!"""
37,"Expecting your guy to be romantic all the time is like expecting you to behave like a porn star all the time."
38,"Beauty and the Beast is my favorite story that teaches kids that if you're ugly, hold a girl against her will & she'll eventually love you."
39,"Oh look, it's raining outside. I think I'll go on Facebook and update all my friends that don't have a window of their own."
40,"The days of good grammar has went."
41,"Yes, I'm aware I can't fly, but that doesn't mean I'm not going to try if my chute doesn't open."
42,"When Asian tourists ask me to take their picture for them; I always say, ""Okay let's do one more but this time don't squint"
43,"I wake up relatively happy every morning. Then I interact with other people and things change quickly."
44,"Your kid is running around the store screaming at the top of his lungs annoying everyone and I'm the asshole for tripping him??"
45,"Saw a boat with a sign that read ""For Sale"" so I added the missing ""-ing""........................ Idiots."
46,"I ignored your Facebook Friend Request only because there isn't a ""Oh Hell No!"" Button!!!"
47,"I just held the door open for a Japanese guy and he said, ""Sank you"" So I punched him in the face. I can't believe he brought up Pearl Harbor just like that."
48,"There is no ""I"" in ""team."" But there's an ""I"" in ""Tim,"" and my friend Carlos pronounces it ""team"" so....there"
49,"My I.Q. goes from 125 to about 14 when there's a hot girl around."
50,"Give a man a fish and he will eat for a day! Teach a man to fish and he will go out and purchase expensive fishing gear, stupid looking clothes, a sports utility vehicle, travel 1000 miles to a lake, to stand waist high to catch 2 fish!"
51,"Steven Tyler is quitting American Idol after two seasons! I sure am going to miss that old lady!!!"
52,"I'm old school when it comes to video games and by that I mean I turn into a senior citizen who yells ""which one am I?"" every 30 seconds."
53,"I've found that the things I'm most interested in aren't really in my best interest."
54,"The clearer your conscience, the more likely you are to answer a call from an unknown number."
55,"You ever notice when your phone decides to call someone its someone you don't want to talk to.!"
56,"My liver works harder for two days than I do all week..."
57,"I'm not calling you a slut, But if you had a password for your vagina it would be ""1234"""
58,"Sundays always bring out my inner senior citizen...."
59,"Practicing my ""Eye Rolling"" cause you know... tomorrow's Monday."
60,"You know times are tough when you are totally jealous of your friends shopping spree... at the dollar store!"
61,"I wanna go to Africa to see where rappers come from."
62,"Hung like Einstein smart as a horse... Thanks dad."
63,"Every time I get a birthday card with money in it, I pretend not to notice the money and ""read"" the card."
64,"Best advice I can give to newlyweds is to buy a really comfortable couch."
65,"That dolphin tattoo on your ass was SO hot when you were 18, Now it looks like a used condom!"
66,"When someone says ""be honest"" what they really mean is: lie to me, but be as convincing as possible."
67,"Got a problem with me? I'm pretty sure a status on Facebook won't fix it."
68,"Congrats on being one of the ""cool kids"" in Highschool. Too bad about the rest of your life though."
69,"Gay marriage is legal in 6 states. Having sex with a horse is legal in 23. Good going, America."
70,"Please don't dress like a slut unless you're really a slut...It's very confusing to us guys."
71,"I can see you're upset. Maybe you should post more about it on Facebook. That should eliminate any more drama."
72,"Romeo and Juliet is Not a Love Story... It's a 3-Day relationship between a 13 year-old and a 17 year-old that caused 6 Deaths. Sincerely, everyone who actually Read it."
73,"I need an app that shows oncoming traffic on my touch screen while I'm driving"
74,"Next time you over hear a stranger giving out their number. Text them details of what they are wearing. It's so fun to watch them freak out!"
75,"How can this cop expect me to show him my license when he took it away last month? What an Idiot."
76,"I respect whoever allowed women into the military. Girl on period + gun = unstoppable."
77,"Just because you are chubby and heartbroken doesn't mean you must sing Adele's song on Karaoke."
78,"I've been keeping this a secret for almost a year now because I didn't want to lose friends: I don't work on Mondays."
79,"The worst thing about doggie style is you can both see your kid come into the room."
80,"Forrest Whitaker turned 51 today, his right eye turned 47."
81,"That awkward moment when you change your Facebook status to ""single"" and your ex likes it."
82,"I now pronounce you husband and wife. You may now update your Facebook status."
83,"That awkward moment when your in super deep thought. Then 3 minutes later you realize you are staring directly at someone."
84,"If there's one thing I really can't stand when I'm drunk, it's up."
85,"The key to a long and good relationship is to keep the fights clean, and the sex dirty!!!"
86,"I don't know what all this fuss is about Same Sex Marriage! Me and my wife have been having the same sex for 21yrs! It's boring but it isn't worth getting all upset over!!!"
87,"If lesbians aren't attracted to men, why are they attracted to women that look like men?"
88,"So you're the bitch that told that bitch that I'm a bitch. Well listen bitch, it takes a bitch to know a bitch. So who's the bitch now, bitch?"
89,"Hey, I'm a girl. I ignore nice guys, chase douche bags, and then complain about it"
90,"I used to be a People Person, but People ruined it for me!!!"
91,"What's the world's longest sentence? .... I do."
92,"I do have a life outside of Facebook, but I don't remember the password for it."
93,"For my next magic trick i'll need a condom and a volunteer."
94,"Life is ironic. We spend so much money on expensive clothes, but the best moments in life are spent without them."
95,"Rest areas are weird. The guy in the stall next to me has four feet."
96,"Every so often, I try to fornicate a large word into conversation, even if I'm not sure what it means"
97,"Doggy style, because sometimes you both just like the same tv show."
98,"You think you're pretty smart until you have to figure out how to turn on someone else's shower."
99,"Relationships are harder now because conversations become texting, arguments become phone calls, and feelings become status updates"
100,"People say drinking milk makes you stronger. I drunk 5 glasses of milk and tried to move a wall. It didn't work. Then, I drank 5 glasses of vodka and the wall moved alone!!"
101,"Find someone who will change your life, not just your relationship status."
102,"Unless there's a new app that lets you shoot people, that phone holster looks ridiculous."
103,"So passed caring about how I dress any more. I just put on whatever makes me not naked and hope for the best"
104,"Memo to self: Next time you fill out a job application and it asks about military service, it is best not to mention that you've Gone Commando a few times in your life."
105,"You say, ""I think we should see other people"" like I haven't been doing so ever since we started dating."
106,"Fellas; If she doesn't call you every fcuking minute of the day, never let her go."
107,"My kids don't like when I drink, but if it wasn't for alcohol, they wouldn't even be here."
108,"What's with these people on facebook who never particpate on your page at all, yet act all weird when you decline attending their stupid event?"
109,"You know as soon as my ""Swear Jar"" gets full, I'm going to use the money to get a Fking Puppy!!!"
110,"Pot is a plant, that grows in the ground. If God didn't want it, It wouldn't be around. So all you f*ckers that don't get high, Shut the f*ck up and give it a try!"
111,"Hello mother. Hello father. Here I am at Camp Marijuana. Crack is good, but weed is better, I'm so f*cked up, a friend wrote this letter."
112,"After I die, I want someone to periodically log in as me so it looks like I'm haunting Facebook."
113,"I'm getting drunk while depressed. If I have your phone number, now would be a good time to put your phone off."
114,"Don't save a spot for someone who won't make an effort to stay."
115,"There is always that one person you want to punch for no reason every-time you see them."
116,"The annoying moment when I get comfy in bed and realize I forgot to do something."
117,"Real laziness is being excited when plans get canceled."
118,"LIKE if you remember this: The walk of shame when you have to put something back in a store after your mom says no."
119,"The angry moment when you plug your charger into your phone but you realize hours later your charger wasn't plugged in."
120,"I hate that random song you hear in the morning and gets stuck in your head all day long."
121,"The Dark Knight Rises.....a porn title that requires no alterations."
122,"My wife asked me how I could love her and still enjoy watching porn. I told her, I love my car but I still watch NASCAR"
123,"I want one of those jobs where people ask, ""Do you actually get paid for doing this?"""
124,"Oh science, oh science, oh science!!"" ~An atheist having sex."
125,"Why has no one invented a device where I can move myself around from place to place while lying in a hammock? I remember when we used to make stuff in this lazy country!"
126,"Simple cure for childhood obesity: Ice Cream Trucks that don't Stop."
127,"Ok children, what sounds did we hear on our field trip to the farm yesterday?...""Moo!"" ""Bahhh!"" ""Quack Quack""...""Get the Fuk off that tractor!!!"""
128,"Well, it's almost time to show up late for something else."
129,"If you don't send the person you're stalking a nude photo of yourself, then you're not taking that relationship serious enough!"
130,"Prison counts as a gated community, right?"
131,"My exercise program consists of having a lot of stairs in my home and forgetting things."
132,"Weird how an attractive face is the criteria by which one decides whether to lick the area that someone pees from."
133,"I sometimes wonder why I'm 33 and single. Then I see you with your screaming kids in the grocery store and quickly remember."
134,"That awkward moment when you accept a compliment that wasn't meant for you."
135,"I found an old coin and took it to a coin expert to examine it! He said ""This could be worth $5,000,000.00!"" After catching my breath I gasped ""Really?"" he tossed it back to me and said ""Yeah, if you use it to scratch off a winning lottery ticket!!!'"
136,"135."
137,"A few years ago while I was on vacation, on stage at the strip club was the ugliest dancer I've ever seen. She danced up to me and said ""Hey Handsome, what would you like me to take off first?"" I said ""My glasses."""
138,"Fred Willard got arrested for jerking off in a porn theater. Well, at least he can honestly say his newest release is in theaters now!"
139,"Nothing says I mean business' like using a grocery cart at the liquor store."
